,price
20930,80
36132,99
48359,89
19395,70
40526,49
40881,160
36501,65
147,195
28580,215
29290,59
32888,65
14013,117
30017,225
21809,45
48652,57
16072,100
43859,35
15980,196
28322,50
45753,78
35417,55
38385,175
35439,45
42632,204
27027,300
39572,250
35741,110
14570,250
35250,36
18453,200
11994,42
12104,190
41515,41
19731,153
15159,206
23631,40
44377,52
42729,50
12127,200
29049,67
38105,75
11355,57
26977,96
22885,169
31161,80
43443,240
20884,185
35224,29
19764,175
20727,86
12898,80
44293,65
38576,120
28211,130
17542,60
38588,232
9907,70
812,219
25953,69
47713,75
15714,35
45176,120
20655,99
20755,110
21045,75
9457,219
37759,60
42760,120
38257,37
36625,185
11110,280
8109,100
19939,100
28174,150
15775,140
20638,60
44633,190
17537,150
41551,70
40188,55
19608,100
19778,65
14490,112
87,60
40686,55
15356,45
2626,67
31065,99
24285,220
12322,299
20338,85
33849,62
9480,90
36298,105
22745,188
37602,68
5467,75
8597,60
28699,125
18059,38
12227,80
32533,100
17130,150
28662,75
4729,185
40778,120
5604,132
40748,136
42472,90
31002,120
44938,200
13811,250
32209,40
21006,70
4391,100
37130,80
9429,63
45174,220
8412,85
38650,36
12439,199
22466,99
33010,125
4651,140
21602,55
31641,65
19102,50
878,199
11470,259
19929,115
39130,135
42147,125
25853,70
1596,50
20438,43
17636,200
48165,80
43154,115
33065,75
39541,175
47201,120
11468,45
7071,160
31628,55
37824,250
27189,175
3919,220
38517,225
37109,120
28405,81
19108,170
33588,299
12632,95
29728,60
15407,59
20851,137
40933,95
22176,300
22342,69
43091,65
13003,50
12002,200
40752,85
48739,100
41471,231
5688,160
31157,158
19603,133
36601,99
42060,128
30740,90
35901,175
39492,180
44897,100
5724,65
28254,150
35849,50
19796,300
40885,280
46326,95
32108,90
19572,199
26537,50
44355,85
2623,120
32367,160
14926,69
13058,85
32879,150
3114,72
11738,79
14686,50
34702,75
30518,140
8859,50
17153,120
27655,220
18427,120
43830,100
32480,50
2223,96
19313,100
43294,195
27320,133
10622,165
28741,300
4489,100
6203,39
23794,148
845,30
27185,225
16538,68
7642,50
1800,200
25302,175
912,115
35083,110
33763,60
4331,150
45232,70
47827,45
1353,55
39894,49
39379,100
7934,180
47791,180
29111,90
4177,200
23048,50
30926,200
26014,100
25897,150
18026,60
32850,70
24744,80
9684,70
3019,110
8032,75
39298,140
10238,105
16449,50
11442,42
45190,299
11819,132
36455,135
16631,150
28288,215
35876,220
21640,289
24818,150
16578,125
11458,150
27053,85
15040,239
31424,55
5220,95
8426,50
17394,120
11083,100
15380,190
30105,60
27208,30
31110,188
21401,65
34994,100
5914,285
4384,160
16492,100
28054,143
219,159
29755,140
7737,275
608,200
48366,150
27945,135
34823,42
1790,63
15764,37
38605,140
6668,180
27077,190
36576,70
30394,100
1948,150
16150,250
22717,50
30032,148
28135,67
20814,110
40375,199
475,219
24557,60
9321,200
44309,50
16088,100
2159,60
21098,300
5905,139
39207,195
1071,250
42952,163
33443,160
17666,99
36537,68
39046,55
46458,245
10491,87
48840,140
41212,85
24328,264
26728,35
48435,77
29472,65
45995,150
35514,42
19947,50
16606,133
19977,95
23876,225
1858,47
1701,100
15978,123
25034,50
33861,108
41568,75
2303,158
23940,180
41044,200
19640,265
17359,25
40522,99
37822,145
32464,250
2205,70
38607,70
22630,125
10161,47
40814,85
47541,199
41539,95
40830,135
14083,75
27701,30
48265,50
13056,149
5695,115
24921,50
20032,220
27411,128
23421,71
29923,125
47395,250
10174,173
44486,134
32864,60
32466,70
42881,125
796,65
576,80
